District,zone,belt,region,Year BS,Year AD,Maternal/Neonatal Death,Number of people,Zone,Belt,Region
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Maternal death,7,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Neonatal death,32,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Still Birth,33,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,Maternal death,1,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,Neonatal death,10,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2066/67,2009/10,Still Birth,12,Kosi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,Maternal death,5,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,Neonatal death,22,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2066/67,2009/10,Still Birth,44,Mechi,Hill,Eastern
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,Maternal death,5,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,Neonatal death,51,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2066/67,2009/10,Still Birth,143,Mechi,Terai,Eastern
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,Maternal death,6,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,Neonatal death,25,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2066/67,2009/10,Still Birth,36,Sagarmatha,Hill,Eastern
Morang,Kosi,Terai,Eastern,2066/67,2009/10,Maternal death,19,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2066/67,2009/10,Neonatal death,136,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2066/67,2009/10,Still Birth,369,Kosi,Terai,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,Maternal death,2,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,Neonatal death,10,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2066/67,2009/10,Still Birth,23,Sagarmatha,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,Maternal death,1,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,Neonatal death,17,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2066/67,2009/10,Still Birth,31,Mechi,Hill,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,Maternal death,9,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,Neonatal death,19,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2066/67,2009/10,Still Birth,35,Kosi,Mountain,Eastern
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,Maternal death,22,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,Neonatal death,32,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2066/67,2009/10,Still Birth,174,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,Maternal death,7,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,Neonatal death,23,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2066/67,2009/10,Still Birth,87,Sagarmatha,Terai,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,Maternal death,6,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,Neonatal death,17,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2066/67,2009/10,Still Birth,22,Sagarmatha,Mountain,Eastern
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,Maternal death,13,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,Neonatal death,42,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2066/67,2009/10,Still Birth,40,Kosi,Terai,Eastern
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,Maternal death,3,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,Neonatal death,9,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2066/67,2009/10,Still Birth,16,Mechi,Mountain,Eastern
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,Maternal death,3,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,Neonatal death,11,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2066/67,2009/10,Still Birth,12,Kosi,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,Maternal death,3,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,Neonatal death,17,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2066/67,2009/10,Still Birth,30,Sagarmatha,Hill,Eastern
Bara,Narayani,Terai,Central,2066/67,2009/10,Maternal death,2,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2066/67,2009/10,Neonatal death,30,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2066/67,2009/10,Still Birth,53,Narayani,Terai,Central
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,Maternal death,0,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,Neonatal death,8,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2066/67,2009/10,Still Birth,7,Bagmati,Hill,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Maternal death,2,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Neonatal death,32,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Still Birth,117,Narayani,Terai,Central
Dhading,Bagmati,Hill,Central,2066/67,2009/10,Maternal death,3,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2066/67,2009/10,Neonatal death,44,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2066/67,2009/10,Still Birth,48,Bagmati,Hill,Central
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,Maternal death,37,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,Neonatal death,26,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2066/67,2009/10,Still Birth,16,Janakpur,Terai,Central
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,Maternal death,4,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,Neonatal death,15,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2066/67,2009/10,Still Birth,30,Janakpur,Mountain,Central
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,Maternal death,16,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,Neonatal death,10,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2066/67,2009/10,Still Birth,69,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2066/67,2009/10,Maternal death,2,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2066/67,2009/10,Neonatal death,59,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2066/67,2009/10,Still Birth,54,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,Maternal death,0,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,Neonatal death,0,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2066/67,2009/10,Still Birth,0,Bagmati,Hill,Central
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,Maternal death,17,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,Neonatal death,213,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2066/67,2009/10,Still Birth,42,Janakpur,Terai,Central
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,Maternal death,9,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,Neonatal death,45,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2066/67,2009/10,Still Birth,38,Narayani,Hill,Central
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,Maternal death,9,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,Neonatal death,12,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2066/67,2009/10,Still Birth,27,Bagmati,Hill,Central
Parsa,Narayani,Terai,Central,2066/67,2009/10,Maternal death,0,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2066/67,2009/10,Neonatal death,113,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2066/67,2009/10,Still Birth,0,Narayani,Terai,Central
Ramechhap,Janakpur,Hill,Central,2066/67,2009/10,Maternal death,8,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2066/67,2009/10,Neonatal death,22,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2066/67,2009/10,Still Birth,23,Janakpur,Hill,Central
Rasuwa,Bagmati,Mountain,Central,2066/67,2009/10,Maternal death,0,Bagmati,Mountain,Central
Rasuwa,Bagmati,Mountain,Central,2066/67,2009/10,Neonatal death,11,Bagmati,Mountain,Central
Rasuwa,Bagmati,Mountain,Central,2066/67,2009/10,Still Birth,5,Bagmati,Mountain,Central
Rautahat,Narayani,Terai,Central,2066/67,2009/10,Maternal death,14,Narayani,Terai,Central
Rautahat,Narayani,Terai,Central,2066/67,2009/10,Neonatal death,50,Narayani,Terai,Central
Rautahat,Narayani,Terai,Central,2066/67,2009/10,Still Birth,32,Narayani,Terai,Central
Sarlahi,Janakpur,Terai,Central,2066/67,2009/10,Maternal death,11,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2066/67,2009/10,Neonatal death,53,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2066/67,2009/10,Still Birth,52,Janakpur,Terai,Central
Sindhuli,Janakpur,Hill,Central,2066/67,2009/10,Maternal death,4,Janakpur,Hill,Central
Sindhuli,Janakpur,Hill,Central,2066/67,2009/10,Neonatal death,25,Janakpur,Hill,Central
Sindhuli,Janakpur,Hill,Central,2066/67,2009/10,Still Birth,36,Janakpur,Hill,Central
Sindhupalchok,Bagmati,Mountain,Central,2066/67,2009/10,Maternal death,8,Bagmati,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2066/67,2009/10,Neonatal death,27,Bagmati,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2066/67,2009/10,Still Birth,47,Bagmati,Mountain,Central
Arghakhanchi,Lumbini,Hill,Western,2066/67,2009/10,Maternal death,3,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2066/67,2009/10,Neonatal death,17,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2066/67,2009/10,Still Birth,17,Lumbini,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2066/67,2009/10,Maternal death,5,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2066/67,2009/10,Neonatal death,5,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2066/67,2009/10,Still Birth,24,Dhawalagiri,Hill,Western
Gorkha,Gandaki,Hill,Western,2066/67,2009/10,Maternal death,3,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2066/67,2009/10,Neonatal death,29,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2066/67,2009/10,Still Birth,36,Gandaki,Hill,Western
Gulmi,Lumbini,Hill,Western,2066/67,2009/10,Maternal death,2,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2066/67,2009/10,Neonatal death,14,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2066/67,2009/10,Still Birth,30,Lumbini,Hill,Western
Kapilbastu,Lumbini,Terai,Western,2066/67,2009/10,Maternal death,1,Lumbini,Terai,Western
Kapilbastu,Lumbini,Terai,Western,2066/67,2009/10,Neonatal death,16,Lumbini,Terai,Western
Kapilbastu,Lumbini,Terai,Western,2066/67,2009/10,Still Birth,33,Lumbini,Terai,Western
Kaski,Gandaki,Hill,Western,2066/67,2009/10,Maternal death,5,Gandaki,Hill,Western
Kaski,Gandaki,Hill,Western,2066/67,2009/10,Neonatal death,60,Gandaki,Hill,Western
Kaski,Gandaki,Hill,Western,2066/67,2009/10,Still Birth,156,Gandaki,Hill,Western
Lamjung,Gandaki,Hill,Western,2066/67,2009/10,Maternal death,2,Gandaki,Hill,Western
Lamjung,Gandaki,Hill,Western,2066/67,2009/10,Neonatal death,17,Gandaki,Hill,Western
Lamjung,Gandaki,Hill,Western,2066/67,2009/10,Still Birth,18,Gandaki,Hill,Western
Manang,Gandaki,Mountain,Western,2066/67,2009/10,Maternal death,0,Gandaki,Mountain,Western
Manang,Gandaki,Mountain,Western,2066/67,2009/10,Neonatal death,0,Gandaki,Mountain,Western
Manang,Gandaki,Mountain,Western,2066/67,2009/10,Still Birth,0,Gandaki,Mountain,Western
Mustang,Dhawalagiri,Mountain,Western,2066/67,2009/10,Maternal death,0,Dhawalagiri,Mountain,Western
Mustang,Dhawalagiri,Mountain,Western,2066/67,2009/10,Neonatal death,0,Dhawalagiri,Mountain,Western
Mustang,Dhawalagiri,Mountain,Western,2066/67,2009/10,Still Birth,3,Dhawalagiri,Mountain,Western
Myagdi,Dhawalagiri,Hill,Western,2066/67,2009/10,Maternal death,0,Dhawalagiri,Hill,Western
Myagdi,Dhawalagiri,Hill,Western,2066/67,2009/10,Neonatal death,20,Dhawalagiri,Hill,Western
Myagdi,Dhawalagiri,Hill,Western,2066/67,2009/10,Still Birth,11,Dhawalagiri,Hill,Western
Nawalparasi,Lumbini,Terai,Western,2066/67,2009/10,Maternal death,7,Lumbini,Terai,Western
Nawalparasi,Lumbini,Terai,Western,2066/67,2009/10,Neonatal death,36,Lumbini,Terai,Western
Nawalparasi,Lumbini,Terai,Western,2066/67,2009/10,Still Birth,26,Lumbini,Terai,Western
Palpa,Lumbini,Hill,Western,2066/67,2009/10,Maternal death,4,Lumbini,Hill,Western
Palpa,Lumbini,Hill,Western,2066/67,2009/10,Neonatal death,35,Lumbini,Hill,Western
Palpa,Lumbini,Hill,Western,2066/67,2009/10,Still Birth,90,Lumbini,Hill,Western
Parbat,Dhawalagiri,Hill,Western,2066/67,2009/10,Maternal death,2,Dhawalagiri,Hill,Western
Parbat,Dhawalagiri,Hill,Western,2066/67,2009/10,Neonatal death,7,Dhawalagiri,Hill,Western
Parbat,Dhawalagiri,Hill,Western,2066/67,2009/10,Still Birth,23,Dhawalagiri,Hill,Western
Rupandehi,Lumbini,Terai,Western,2066/67,2009/10,Maternal death,18,Lumbini,Terai,Western
Rupandehi,Lumbini,Terai,Western,2066/67,2009/10,Neonatal death,0,Lumbini,Terai,Western
Rupandehi,Lumbini,Terai,Western,2066/67,2009/10,Still Birth,0,Lumbini,Terai,Western
Syangja,Gandaki,Hill,Western,2066/67,2009/10,Maternal death,1,Gandaki,Hill,Western
Syangja,Gandaki,Hill,Western,2066/67,2009/10,Neonatal death,26,Gandaki,Hill,Western
Syangja,Gandaki,Hill,Western,2066/67,2009/10,Still Birth,18,Gandaki,Hill,Western
Tanahu,Gandaki,Hill,Western,2066/67,2009/10,Maternal death,1,Gandaki,Hill,Western
Tanahu,Gandaki,Hill,Western,2066/67,2009/10,Neonatal death,30,Gandaki,Hill,Western
Tanahu,Gandaki,Hill,Western,2066/67,2009/10,Still Birth,21,Gandaki,Hill,Western
Banke,Bheri,Terai,Mid-Western,2066/67,2009/10,Maternal death,25,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2066/67,2009/10,Neonatal death,282,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2066/67,2009/10,Still Birth,321,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2066/67,2009/10,Maternal death,11,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2066/67,2009/10,Neonatal death,92,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2066/67,2009/10,Still Birth,91,Bheri,Terai,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2066/67,2009/10,Maternal death,4,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2066/67,2009/10,Neonatal death,52,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2066/67,2009/10,Still Birth,73,Bheri,Hill,Mid-Western
Dang,Rapti,Terai,Mid-Western,2066/67,2009/10,Maternal death,9,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2066/67,2009/10,Neonatal death,37,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2066/67,2009/10,Still Birth,80,Rapti,Terai,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2066/67,2009/10,Maternal death,1,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2066/67,2009/10,Neonatal death,2,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2066/67,2009/10,Still Birth,3,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2066/67,2009/10,Maternal death,2,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2066/67,2009/10,Neonatal death,8,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2066/67,2009/10,Still Birth,6,Karnali,Mountain,Mid-Western
Jajarkot,Bheri,Hill,Mid-Western,2066/67,2009/10,Maternal death,6,Bheri,Hill,Mid-Western
Jajarkot,Bheri,Hill,Mid-Western,2066/67,2009/10,Neonatal death,9,Bheri,Hill,Mid-Western
Jajarkot,Bheri,Hill,Mid-Western,2066/67,2009/10,Still Birth,7,Bheri,Hill,Mid-Western
Jumla,Karnali,Mountain,Mid-Western,2066/67,2009/10,Maternal death,1,Karnali,Mountain,Mid-Western
Jumla,Karnali,Mountain,Mid-Western,2066/67,2009/10,Neonatal death,43,Karnali,Mountain,Mid-Western
Jumla,Karnali,Mountain,Mid-Western,2066/67,2009/10,Still Birth,14,Karnali,Mountain,Mid-Western
Kalikot,Karnali,Mountain,Mid-Western,2066/67,2009/10,Maternal death,8,Karnali,Mountain,Mid-Western
Kalikot,Karnali,Mountain,Mid-Western,2066/67,2009/10,Neonatal death,7,Karnali,Mountain,Mid-Western
Kalikot,Karnali,Mountain,Mid-Western,2066/67,2009/10,Still Birth,19,Karnali,Mountain,Mid-Western
Mugu,Karnali,Mountain,Mid-Western,2066/67,2009/10,Maternal death,3,Karnali,Mountain,Mid-Western
Mugu,Karnali,Mountain,Mid-Western,2066/67,2009/10,Neonatal death,11,Karnali,Mountain,Mid-Western
Mugu,Karnali,Mountain,Mid-Western,2066/67,2009/10,Still Birth,5,Karnali,Mountain,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,2066/67,2009/10,Maternal death,6,Rapti,Hill,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,2066/67,2009/10,Neonatal death,36,Rapti,Hill,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,2066/67,2009/10,Still Birth,14,Rapti,Hill,Mid-Western
Rolpa,Rapti,Hill,Mid-Western,2066/67,2009/10,Maternal death,30,Rapti,Hill,Mid-Western
Rolpa,Rapti,Hill,Mid-Western,2066/67,2009/10,Neonatal death,32,Rapti,Hill,Mid-Western
Rolpa,Rapti,Hill,Mid-Western,2066/67,2009/10,Still Birth,22,Rapti,Hill,Mid-Western
Rukum,Rapti,Hill,Mid-Western,2066/67,2009/10,Maternal death,37,Rapti,Hill,Mid-Western
Rukum,Rapti,Hill,Mid-Western,2066/67,2009/10,Neonatal death,32,Rapti,Hill,Mid-Western
Rukum,Rapti,Hill,Mid-Western,2066/67,2009/10,Still Birth,28,Rapti,Hill,Mid-Western
Salyan,Rapti,Hill,Mid-Western,2066/67,2009/10,Maternal death,6,Rapti,Hill,Mid-Western
