District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator 1,Indicator 2,Indicator 3,Value
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PM Indigenous.3,5 Years & Above,Male,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PM Indigenous.4,Total,Female,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PM Indigenous.5,Total,Male,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PM Imported,Under 5 Years,Female,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PM Imported.1,Under 5 Years,Male,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PM Imported.2,5 Years & Above,Female,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PM Imported.3,5 Years & Above,Male,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PM Imported.4,Total,Female,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PM Imported.5,Total,Male,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,PF Indigenous,Under 5 Years,Female,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,PF Indigenous.1,Under 5 Years,Male,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,PF Indigenous.2,5 Years & Above,Female,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,PF Indigenous.3,5 Years & Above,Male,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,PF Indigenous.4,Total,Female,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,PF Indigenous.5,Total,Male,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,PF Imported,Under 5 Years,Female,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,PF Imported.1,Under 5 Years,Male,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,PF Imported.2,5 Years & Above,Female,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,PF Imported.3,5 Years & Above,Male,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,PF Imported.4,Total,Female,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,PF Imported.5,Total,Male,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,PM Indigenous,Under 5 Years,Female,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,PM Indigenous.1,Under 5 Years,Male,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,PM Indigenous.2,5 Years & Above,Female,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,PM Indigenous.3,5 Years & Above,Male,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,PM Indigenous.4,Total,Female,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,PM Indigenous.5,Total,Male,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,PM Imported,Under 5 Years,Female,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,PM Imported.1,Under 5 Years,Male,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,PM Imported.2,5 Years & Above,Female,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,PM Imported.3,5 Years & Above,Male,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,PM Imported.4,Total,Female,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,PM Imported.5,Total,Male,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,PF Indigenous,Under 5 Years,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,PF Indigenous.1,Under 5 Years,Male,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,PF Indigenous.2,5 Years & Above,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,PF Indigenous.3,5 Years & Above,Male,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,PF Indigenous.4,Total,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,PF Indigenous.5,Total,Male,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,PF Imported,Under 5 Years,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,PF Imported.1,Under 5 Years,Male,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,PF Imported.2,5 Years & Above,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,PF Imported.3,5 Years & Above,Male,1
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,PF Imported.4,Total,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,PF Imported.5,Total,Male,1
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,PM Indigenous,Under 5 Years,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,PM Indigenous.1,Under 5 Years,Male,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,PM Indigenous.2,5 Years & Above,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,PM Indigenous.3,5 Years & Above,Male,1
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,PM Indigenous.4,Total,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,PM Indigenous.5,Total,Male,1
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,PM Imported,Under 5 Years,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,PM Imported.1,Under 5 Years,Male,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,PM Imported.2,5 Years & Above,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,PM Imported.3,5 Years & Above,Male,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,PM Imported.4,Total,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,PM Imported.5,Total,Male,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,PF Indigenous,Under 5 Years,Female,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,PF Indigenous.1,Under 5 Years,Male,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,PF Indigenous.2,5 Years & Above,Female,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,PF Indigenous.3,5 Years & Above,Male,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,PF Indigenous.4,Total,Female,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,PF Indigenous.5,Total,Male,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,PF Imported,Under 5 Years,Female,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,PF Imported.1,Under 5 Years,Male,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,PF Imported.2,5 Years & Above,Female,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,PF Imported.3,5 Years & Above,Male,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,PF Imported.4,Total,Female,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,PF Imported.5,Total,Male,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,PM Indigenous,Under 5 Years,Female,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,PM Indigenous.1,Under 5 Years,Male,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,PM Indigenous.2,5 Years & Above,Female,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,PM Indigenous.3,5 Years & Above,Male,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,PM Indigenous.4,Total,Female,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,PM Indigenous.5,Total,Male,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,PM Imported,Under 5 Years,Female,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,PM Imported.1,Under 5 Years,Male,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,PM Imported.2,5 Years & Above,Female,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,PM Imported.3,5 Years & Above,Male,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,PM Imported.4,Total,Female,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,PM Imported.5,Total,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,PF Indigenous,Under 5 Years,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,PF Indigenous.1,Under 5 Years,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,PF Indigenous.2,5 Years & Above,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,PF Indigenous.3,5 Years & Above,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,PF Indigenous.4,Total,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,PF Indigenous.5,Total,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,PF Imported,Under 5 Years,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,PF Imported.1,Under 5 Years,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,PF Imported.2,5 Years & Above,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,PF Imported.3,5 Years & Above,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,PF Imported.4,Total,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,PF Imported.5,Total,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,PM Indigenous,Under 5 Years,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,PM Indigenous.1,Under 5 Years,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,PM Indigenous.2,5 Years & Above,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,PM Indigenous.3,5 Years & Above,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,PM Indigenous.4,Total,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,PM Indigenous.5,Total,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,PM Imported,Under 5 Years,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,PM Imported.1,Under 5 Years,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,PM Imported.2,5 Years & Above,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,PM Imported.3,5 Years & Above,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,PM Imported.4,Total,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,PM Imported.5,Total,Male,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,PF Indigenous,Under 5 Years,Female,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,PF Indigenous.1,Under 5 Years,Male,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,PF Indigenous.2,5 Years & Above,Female,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,PF Indigenous.3,5 Years & Above,Male,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,PF Indigenous.4,Total,Female,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,PF Indigenous.5,Total,Male,0
